Experiment: expttestChemo vial 11, Wed Dec 23 18:03:04 2020
0.0024,0.0
0.0082,0.0003088523983397484
0.0136,0.0005502834945892293
0.0193,0.0006441074143471587
0.0247,0.00020147103979899217
0.0303,0.0012597523714581588
0.036,0.0007646840861348092
0.0414,0.0003088523983397484
0.0471,0.0010190357391273996
0.0525,0.0006977045493232747
0.0582,0.0003088523983397484
0.0637,0.0008985869946338543
0.0691,0.0007244986136048376
0.0748,0.0002820116053168231
0.0802,0.00017461811635531566
0.0859,0.0006441074143471587
