Experiment: expttestChemo vial 2, Wed Dec 23 18:03:04 2020
0.0024,0.0
0.0082,-0.00030168528324669985
0.0136,0.0004925062382209466
0.0193,0.0001890918235735728
0.0247,0.001026073195881716
0.0303,0.001140841626843525
0.036,3.778512871083217e-05
0.0414,0.00129410537018676
0.0471,-0.0007896808998023586
0.0525,-0.0008645124798397075
0.0582,-0.002641283986859422
0.0637,3.778512871083217e-05
0.0691,-0.0006773115866715029
0.0748,-0.0019053969973066853
0.0802,-0.0030068948280067564
0.0859,-0.0019423404279557133
